,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,Stephen Zimmerman Jr.,ORL,2,41,2016,UNLV,2015-16,2015-16,26,24,26.2,3.9,8.2,3.7,7.6,0.2,0.7,2.4,3.9,2.2,6.6,8.7,0.8,0.5,2.0,2.1,3.0,10.5,.477,.492,.294,.624,.519,.488,F,UNLV,stephen-zimmermanjr-1
2,Tyler Zeller,DAL,1,17,2012,North Carolina,2009-10,2011-12,102,73,25.3,5.2,9.5,5.2,9.5,0.0,0.0,3.9,5.0,3.0,4.4,7.4,0.6,0.7,1.2,1.5,2.5,14.3,.545,.546,.000,.776,.599,.545,F,North Carolina,tyler-zeller-1
3,Cody Zeller,CHA,1,4,2013,Indiana,2011-12,2012-13,72,72,29.0,5.5,9.4,5.5,9.3,0.0,0.0,5.0,6.6,2.6,4.7,7.3,1.3,1.2,1.2,2.0,2.5,16.1,.592,.594,.000,.756,.643,.592,F,Indiana,cody-zeller-1
4,Marcus Zegarowski,NJN,2,49,2021,Creighton,2018-19,2020-21,92,75,32.2,5.0,10.5,2.6,5.0,2.3,5.5,1.8,2.3,0.3,3.2,3.5,4.2,1.1,0.1,2.2,1.9,14.1,.471,.523,.423,.772,.604,.582,G,Creighton,marcus-zegarowski-1
5,Trae Young,DAL,1,5,2018,Oklahoma,2017-18,2017-18,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,.422,.493,.360,.861,.585,.518,G,Oklahoma,trae-young-1
6,Joe Young,IND,2,43,2015,Oregon,2011-12,2014-15,132,115,32.8,5.9,13.0,3.7,7.4,2.2,5.6,3.5,3.9,0.6,3.0,3.6,2.7,1.0,0.1,1.7,1.5,17.5,.453,.501,.390,.886,.586,.537,G,HoustonOregon,joseph-young-1
7,James Young,BOS,1,17,2014,Kentucky,2013-14,2013-14,40,39,32.4,4.6,11.3,2.5,5.4,2.1,5.9,3.1,4.4,1.0,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,.407,.470,.349,.706,.536,.498,G,Kentucky,james-young-1
8,Tony Wroten,MEM,1,25,2012,Washington,2011-12,2011-12,35,27,30.3,5.7,12.8,5.4,11.2,0.3,1.6,4.4,7.5,2.3,2.7,5.0,3.7,1.9,0.4,3.8,2.7,16.0,.443,.483,.161,.583,.488,.453,G,Washington,tony-wroten-1
9,Justin Wright-Foreman,UTA,2,53,2019,Hofstra,2015-16,2018-19,125,82,28.1,6.6,13.6,4.3,7.8,2.2,5.7,3.3,4.1,0.4,2.6,2.9,2.1,0.7,0.2,1.7,1.6,18.6,.483,.555,.386,.811,.601,.565,G,Hofstra,justin-wright-foreman-1
10,Delon Wright,TOR,1,20,2015,Utah,2013-14,2014-15,68,68,34.8,5.0,9.3,4.4,7.5,0.6,1.9,4.5,5.5,1.1,4.7,5.8,5.2,2.3,1.1,2.2,1.6,15.0,.535,.594,.299,.814,.629,.565,G,Utah,delon-wright-1
11,Robert Woodard,MEM,2,40,2020,Mississippi State,2018-19,2019-20,65,32,24.9,3.2,6.6,2.6,4.9,0.6,1.8,1.2,2.0,1.8,3.5,5.3,1.0,0.8,0.8,1.2,1.5,8.3,.485,.527,.368,.617,.548,.534,G,Mississippi State,robert-woodard-2
12,Isaiah Wong,IND,2,55,2023,Miami (FL),2019-20,2022-23,132,112,31.1,4.8,10.9,3.4,7.0,1.3,3.9,3.2,4.0,0.9,3.2,4.1,2.2,1.0,0.4,1.7,1.7,14.1,.440,.491,.347,.807,.553,.502,G,Miami (FL),isaiah-wong-1
13,Nate Wolters,WAS,2,38,2013,South Dakota State,2009-10,2012-13,127,109,33.1,6.1,13.5,4.8,9.9,1.2,3.6,5.1,6.4,0.9,3.8,4.7,5.3,1.5,0.2,2.2,1.8,18.5,.450,.490,.342,.803,.560,.497,G,South Dakota State,nate-wolters-1
14,Jeff Withey,POR,2,39,2013,Kansas,2009-10,2012-13,117,76,19.8,2.8,4.9,2.8,4.9,0.0,0.0,2.4,3.3,1.6,3.8,5.4,0.6,0.5,2.7,1.2,1.8,8.0,.568,.567,1.000,.726,.616,.569,C,Kansas,jeff-withey-1
15,James Wiseman,GSW,1,2,2020,Memphis,2019-20,2019-20,3,3,23.0,6.7,8.7,6.7,8.3,0.0,0.3,6.3,9.0,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,.769,.800,.000,.704,.760,.769,C,Memphis,james-wiseman-1
16,Cassius Winston,OKC,2,53,2020,Michigan State,2016-17,2019-20,139,108,28.8,4.7,10.1,2.8,5.8,1.9,4.3,3.0,3.5,0.2,2.5,2.7,6.4,0.9,0.1,2.7,2.0,14.2,.461,.484,.430,.845,.601,.553,G,Michigan State,cassius-winston-1
