,Player,Round,Pick,Draft Year,College,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
0,Stephen Zimmerman Jr.,2,41,2016,UNLV,26,24,26.2,3.9,8.2,3.7,7.6,0.2,0.7,2.4,3.9,2.2,6.6,8.7,0.8,0.5,2.0,2.1,3.0,10.5,0.477,0.492,0.294,0.624,0.519,0.488,F
1,Tyler Zeller,1,17,2012,North Carolina,102,73,25.3,5.2,9.5,5.2,9.5,0.0,0.0,3.9,5.0,3.0,4.4,7.4,0.6,0.7,1.2,1.5,2.5,14.3,0.545,0.546,0.0,0.776,0.599,0.545,F
2,Cody Zeller,1,4,2013,Indiana,72,72,29.0,5.5,9.4,5.5,9.3,0.0,0.0,5.0,6.6,2.6,4.7,7.3,1.3,1.2,1.2,2.0,2.5,16.1,0.592,0.594,0.0,0.756,0.643,0.592,F
3,Marcus Zegarowski,2,49,2021,Creighton,92,75,32.2,5.0,10.5,2.6,5.0,2.3,5.5,1.8,2.3,0.3,3.2,3.5,4.2,1.1,0.1,2.2,1.9,14.1,0.471,0.523,0.423,0.772,0.604,0.582,G
4,Trae Young,1,5,2018,Oklahoma,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,0.422,0.493,0.36,0.861,0.585,0.518,G
5,Joe Young,2,43,2015,Oregon,132,115,32.8,5.9,13.0,3.7,7.4,2.2,5.6,3.5,3.9,0.6,3.0,3.6,2.7,1.0,0.1,1.7,1.5,17.5,0.453,0.501,0.39,0.886,0.586,0.537,G
6,James Young,1,17,2014,Kentucky,40,39,32.4,4.6,11.3,2.5,5.4,2.1,5.9,3.1,4.4,1.0,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,0.407,0.47,0.349,0.706,0.536,0.498,G
7,Tony Wroten,1,25,2012,Washington,35,27,30.3,5.7,12.8,5.4,11.2,0.3,1.6,4.4,7.5,2.3,2.7,5.0,3.7,1.9,0.4,3.8,2.7,16.0,0.443,0.483,0.161,0.583,0.488,0.453,G
8,Justin Wright-Foreman,2,53,2019,Hofstra,125,82,28.1,6.6,13.6,4.3,7.8,2.2,5.7,3.3,4.1,0.4,2.6,2.9,2.1,0.7,0.2,1.7,1.6,18.6,0.483,0.555,0.386,0.811,0.601,0.565,G
9,Delon Wright,1,20,2015,Utah,68,68,34.8,5.0,9.3,4.4,7.5,0.6,1.9,4.5,5.5,1.1,4.7,5.8,5.2,2.3,1.1,2.2,1.6,15.0,0.535,0.594,0.299,0.814,0.629,0.565,G
10,Robert Woodard,2,40,2020,Mississippi State,65,32,24.9,3.2,6.6,2.6,4.9,0.6,1.8,1.2,2.0,1.8,3.5,5.3,1.0,0.8,0.8,1.2,1.5,8.3,0.485,0.527,0.368,0.617,0.548,0.534,G
11,Isaiah Wong,2,55,2023,Miami (FL),132,112,31.1,4.8,10.9,3.4,7.0,1.3,3.9,3.2,4.0,0.9,3.2,4.1,2.2,1.0,0.4,1.7,1.7,14.1,0.44,0.491,0.347,0.807,0.553,0.502,G
12,Nate Wolters,2,38,2013,South Dakota State,127,109,33.1,6.1,13.5,4.8,9.9,1.2,3.6,5.1,6.4,0.9,3.8,4.7,5.3,1.5,0.2,2.2,1.8,18.5,0.45,0.49,0.342,0.803,0.56,0.497,G
13,Jeff Withey,2,39,2013,Kansas,117,76,19.8,2.8,4.9,2.8,4.9,0.0,0.0,2.4,3.3,1.6,3.8,5.4,0.6,0.5,2.7,1.2,1.8,8.0,0.568,0.567,1.0,0.726,0.616,0.569,C
14,James Wiseman,1,2,2020,Memphis,3,3,23.0,6.7,8.7,6.7,8.3,0.0,0.3,6.3,9.0,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,0.769,0.8,0.0,0.704,0.76,0.769,C
15,Cassius Winston,2,53,2020,Michigan State,139,108,28.8,4.7,10.1,2.8,5.8,1.9,4.3,3.0,3.5,0.2,2.5,2.7,6.4,0.9,0.1,2.7,2.0,14.2,0.461,0.484,0.43,0.845,0.601,0.553,G
16,Justise Winslow,1,10,2015,Duke,39,39,29.1,4.4,9.1,3.3,6.3,1.2,2.8,2.6,4.0,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,0.486,0.516,0.418,0.641,0.572,0.551,F
17,Dylan Windler,1,26,2019,Belmont,128,97,29.4,4.6,8.6,2.9,4.4,1.7,4.2,2.2,2.9,1.6,6.2,7.8,2.0,1.0,0.8,1.6,2.4,13.2,0.541,0.669,0.406,0.761,0.663,0.64,F
18,Jalen Wilson,2,51,2023,Kansas,104,89,30.6,4.9,11.3,3.5,7.0,1.3,4.3,3.0,4.2,1.7,6.0,7.7,2.0,0.8,0.4,1.8,2.0,14.2,0.434,0.506,0.316,0.732,0.535,0.494,F
19,D.J. Wilson,1,17,2017,Michigan,69,36,19.4,2.8,5.3,2.1,3.3,0.7,2.0,0.8,1.0,0.9,2.4,3.3,0.8,0.4,1.0,0.8,1.4,7.1,0.525,0.619,0.363,0.817,0.614,0.592,F
20,Zion Williamson,1,1,2019,Duke,33,33,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,0.68,0.747,0.338,0.64,0.702,0.708,F
21,Nigel Williams-Goss,2,55,2017,Gonzaga,100,100,34.2,5.7,12.4,4.8,9.4,1.0,2.9,2.9,3.6,0.7,4.4,5.1,5.0,1.3,0.1,2.6,1.9,15.4,0.464,0.506,0.331,0.806,0.546,0.504,G
22,Ziaire Williams,1,10,2021,Stanford,20,14,27.9,3.8,10.2,2.7,6.2,1.2,4.0,2.0,2.5,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,0.374,0.427,0.291,0.796,0.473,0.431,F
23,Vince Williams Jr.,2,47,2022,VCU,110,54,23.4,2.7,6.2,1.6,3.2,1.1,3.0,2.1,2.7,1.0,3.4,4.4,1.9,1.2,0.5,1.9,2.3,8.6,0.44,0.507,0.367,0.773,0.578,0.528,G
24,Robert Williams,1,27,2018,Texas A&M,61,40,25.7,4.8,8.1,4.8,7.6,0.0,0.5,1.5,2.8,2.7,6.0,8.7,1.4,0.7,2.5,1.7,2.0,11.1,0.591,0.624,0.067,0.541,0.59,0.593,F
25,Patrick Williams,1,4,2020,Florida State,29,0,22.5,3.3,7.1,2.7,5.4,0.6,1.7,2.1,2.6,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,0.459,0.503,0.32,0.838,0.553,0.498,F
26,Mark Williams,1,15,2022,Duke,62,54,20.5,4.2,6.0,4.2,6.0,0.0,0.0,1.3,1.9,2.3,4.0,6.3,0.8,0.5,2.3,0.9,1.8,9.7,0.704,0.706,0.0,0.661,0.703,0.704,C
27,Jordan Williams,2,36,2011,Maryland,66,64,28.6,5.1,9.7,5.1,9.7,0.0,0.0,3.0,5.3,3.3,6.9,10.2,0.4,0.7,1.2,1.3,2.6,13.2,0.528,0.528,,0.559,0.54,0.528,F
28,Jaylin Williams,2,34,2022,Arkansas,63,40,25.2,2.8,6.0,2.4,4.5,0.4,1.5,2.0,2.7,1.3,6.3,7.7,1.8,1.0,0.9,1.4,2.3,7.9,0.464,0.534,0.255,0.731,0.544,0.496,F
29,Jalen Williams,1,12,2022,Santa Clara,84,72,30.5,4.5,9.5,3.4,6.5,1.1,3.0,2.6,3.3,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6,0.469,0.525,0.352,0.785,0.568,0.526,G
30,Grant Williams,1,22,2019,Tennessee,104,101,28.9,5.3,10.2,5.0,9.2,0.3,1.0,4.8,6.4,2.5,4.0,6.5,2.1,0.9,1.5,2.1,3.2,15.7,0.516,0.54,0.291,0.758,0.591,0.53,F
