,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
0,Tyler Zeller,1,17,17.1,2012-13,2019-20,23-30,414,166,0,17.5,2.8,5.5,2.8,5.4,0.0,0.1,1.3,1.7,1.5,2.9,4.4,0.9,0.3,0.6,0.8,2.2,6.9,0.508,0.512,0.286,0.764,0.553,0.511,F-C
1,Cody Zeller,1,4,32.7,2013-14,2022-23,21-30,509,275,0,22.0,3.2,6.1,3.1,5.8,0.1,0.3,2.0,2.8,2.0,3.9,5.9,1.4,0.6,0.6,1.1,2.6,8.4,0.522,0.537,0.218,0.73,0.577,0.527,C-F
2,Trae Young,1,5,33.0,2018-19,2022-23,20-24,353,353,2,33.8,8.1,18.6,5.6,11.4,2.5,7.1,6.7,7.7,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,0.437,0.491,0.351,0.876,0.58,0.505,G
3,Joe Young,2,43,0.4,2015-16,2017-18,23-25,127,1,0,8.5,1.3,3.4,1.0,2.3,0.3,1.1,0.4,0.5,0.1,0.9,1.0,0.9,0.3,0.0,0.5,0.6,3.4,0.393,0.438,0.296,0.768,0.469,0.44,G
4,James Young,1,17,0.8,2014-15,2017-18,19-22,95,0,0,8.5,0.8,2.2,0.4,0.8,0.4,1.4,0.3,0.5,0.2,0.8,1.0,0.3,0.3,0.1,0.2,0.6,2.3,0.367,0.534,0.277,0.563,0.474,0.457,G-F
5,Tony Wroten,1,25,-1.3,2012-13,2015-16,19-22,145,34,0,21.2,4.0,9.6,3.4,7.1,0.6,2.5,2.6,3.9,0.7,1.8,2.5,3.0,0.9,0.2,2.6,1.8,11.1,0.413,0.477,0.231,0.647,0.488,0.443,G
6,Justin Wright-Foreman,2,53,0.0,2019-20,2019-20,22,4,0,0,11.3,1.8,5.0,1.3,2.5,0.5,2.5,0.8,1.0,0.0,1.3,1.3,1.8,0.5,0.0,0.8,1.3,4.8,0.35,0.5,0.2,0.75,0.437,0.4,G
7,Delon Wright,1,20,26.5,2015-16,2022-23,23-30,461,84,0,21.3,2.6,5.8,2.0,3.9,0.7,1.9,1.2,1.5,0.8,2.4,3.2,3.1,1.2,0.4,1.0,1.1,7.2,0.455,0.507,0.353,0.805,0.556,0.515,G
8,Nate Wolters,2,38,0.9,2013-14,2017-18,22-26,84,31,0,18.8,2.3,5.4,2.1,4.6,0.2,0.8,0.7,1.1,0.5,1.7,2.2,2.5,0.5,0.2,0.8,1.0,5.5,0.423,0.452,0.261,0.635,0.466,0.442,G
9,Jeff Withey,2,39,6.8,2013-14,2017-18,23-27,206,15,0,10.1,1.2,2.3,1.2,2.2,0.0,0.1,0.8,1.1,0.9,1.6,2.5,0.3,0.3,0.8,0.4,1.1,3.2,0.525,0.537,0.143,0.716,0.578,0.527,C
10,James Wiseman,1,2,2.1,2020-21,2022-23,19-21,84,49,0,20.3,4.5,8.4,4.3,7.7,0.2,0.7,1.5,2.2,1.5,4.3,5.9,0.7,0.2,0.8,1.3,2.7,10.7,0.537,0.561,0.276,0.667,0.57,0.549,C
11,Cassius Winston,2,53,0.1,2020-21,2021-22,22-23,29,0,0,4.7,0.6,1.5,0.3,0.7,0.3,0.8,0.3,0.3,0.0,0.3,0.3,0.7,0.1,0.0,0.3,0.6,1.9,0.409,0.381,0.435,0.9,0.568,0.523,G
12,Justise Winslow,1,10,8.2,2015-16,2022-23,19-26,344,128,0,25.9,3.3,7.9,2.6,5.8,0.7,2.1,1.0,1.6,1.1,4.1,5.1,2.6,0.9,0.4,1.5,2.3,8.2,0.412,0.448,0.315,0.638,0.477,0.455,F
