,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
1,LeBron James,170.3,2009-10,2022-23,25-38,949,948,14,36.8,10.0,19.1,8.3,14.3,1.7,4.9,5.3,7.2,1.1,6.6,7.8,7.7,1.4,0.7,3.6,1.7,27.0,.523,.581,.351,.734,.606,.568,F-G,CLELALMIA,jamesle01
2,James Harden,158.0,2009-10,2022-23,20-33,1000,786,10,34.8,7.3,16.5,4.5,8.9,2.8,7.6,7.4,8.6,0.8,4.9,5.6,7.0,1.5,0.5,3.7,2.6,24.7,.442,.510,.363,.860,.609,.526,G,BRKHOUOKCPHI,hardeja01
3,Kevin Durant,151.7,2009-10,2022-23,21-34,832,829,13,36.7,9.6,18.8,7.5,13.6,2.1,5.3,7.0,7.8,0.6,6.7,7.4,4.7,1.1,1.2,3.2,2.0,28.1,.507,.554,.387,.888,.631,.561,F-G,BRKGSWOKCPHO,duranke01
4,Chris Paul,149.8,2009-10,2022-23,24-37,914,914,10,33.5,6.2,13.1,4.7,9.0,1.5,4.1,3.6,4.0,0.5,3.9,4.4,9.3,2.0,0.2,2.3,2.4,17.4,.473,.517,.374,.880,.587,.531,G,HOULACNOHOKCPHO,paulch01
5,Stephen Curry,128.0,2009-10,2022-23,21-34,882,876,9,34.4,8.4,17.7,4.6,8.8,3.8,9.0,3.9,4.3,0.7,4.1,4.7,6.5,1.6,0.2,3.1,2.4,24.6,.475,.524,.428,.909,.627,.583,G,GSW,curryst01
6,Russell Westbrook,106.5,2009-10,2022-23,21-34,1012,963,9,34.5,8.2,18.7,7.0,14.8,1.2,3.9,5.3,6.8,1.6,5.9,7.5,8.6,1.6,0.3,4.1,2.6,22.9,.440,.475,.306,.775,.529,.472,G,HOULACLALOKCWAS,westbru01
7,Jimmy Butler,105.9,2011-12,2022-23,22-33,754,649,6,33.2,5.9,12.6,5.1,10.2,0.8,2.4,5.6,6.6,1.6,3.7,5.3,4.2,1.6,0.5,1.6,1.4,18.2,.467,.502,.323,.842,.584,.499,F-G,CHIMIAMINPHI,butleji01
8,Damian Lillard,103.1,2012-13,2022-23,22-32,769,769,7,36.3,8.2,18.6,5.1,10.3,3.1,8.3,5.8,6.4,0.6,3.6,4.2,6.7,1.0,0.3,2.8,1.9,25.2,.439,.494,.372,.895,.588,.523,G,POR,lillada01
9,Kyle Lowry,100.5,2009-10,2022-23,23-36,909,801,6,33.4,5.0,11.9,2.8,6.0,2.2,6.0,3.4,4.1,0.8,3.8,4.7,6.8,1.4,0.3,2.5,2.9,15.7,.423,.474,.372,.826,.572,.516,G,HOUMIATOR,lowryky01
10,Anthony Davis,100.3,2012-13,2022-23,19-29,660,653,8,34.4,9.0,17.3,8.5,15.7,0.5,1.6,5.6,7.1,2.6,7.8,10.4,2.4,1.3,2.3,2.0,2.4,24.0,.519,.541,.300,.793,.589,.533,F-C,LALNOHNOP,davisan02
11,LaMarcus Aldridge,96.5,2009-10,2021-22,24-36,856,818,7,34.1,8.1,16.3,7.8,15.6,0.3,0.8,3.7,4.5,2.5,5.9,8.5,2.1,0.7,1.1,1.6,2.3,20.1,.494,.502,.325,.822,.548,.502,F-C,BRKPORSAS,aldrila01
